ID,LON_LAT,frname,year,month,month_str,area_sum,count_fires,count_roads,MO_population,aspect,veg_category,7_days_SUM_APCP,kpo,7_days_AVG_RH,7_days_AVG_TMP,7_days_AVG_WIND_SPEED,dist_to_rivers,dist_to_railway,dist_to_roads,elevation
33,103.0 52.5,Сосновское военное,2010,5,май,2760.0,1,1,20.976861,113.7907714844,Редколесье,16.74,647.161035251,71.4552083333,12.54284375,2.9715416004,10.0615726219,24.9810357217,7.3868970083,488.5
34,103.0 52.5,Сосновское военное,2014,10,октябрь,1052.0,1,1,20.976861,101.0825653076,Редколесье,7.5,44.2857411671,70.935,9.54375,2.505,10.0615726219,24.9810357217,7.3868970083,488.5
35,103.0 52.5,Усольское,2010,5,май,830.0,2,2,31.2003717692,114.2167701721,Лиственный лес,53.78,372.9740606994,71.4552083333,12.54284375,2.9715416004,11.2808030645,45.5199881542,6.8086137374,579.9076923077
36,103.0 52.5,Усольское,2010,6,июнь,2163.0,12,6,31.2003717692,70.7927972762,Редколесье,74.2,11867.5885242813,50.8814856151,22.8810446429,2.7637280719,11.2808030645,45.5199881542,6.8086137374,579.9076923077
37,103.0 52.5,Усольское,2011,6,июнь,497.0,2,2,31.2003717692,281.5265922546,Редколесье,0.8,4982.8619413916,40.121875,29.29,2.725,11.2808030645,45.5199881542,6.8086137374,579.9076923077
38,103.0 52.5,Усольское,2011,9,сентябрь,1615.0,2,2,31.2003717692,3.4622039795,Редколесье,36.2,1126.0037382399,71.0234375,14.92625,2.28125,11.2808030645,45.5199881542,6.8086137374,579.9076923077
39,103.0 52.5,Усольское,2011,10,октябрь,1222.0,2,1,31.2003717692,83.2045249939,Редколесье,72.4,475.147447404,79.371875,11.835,2.575,11.2808030645,45.5199881542,6.8086137374,579.9076923077
40,103.0 52.5,Усольское,2012,5,май,99.0,2,1,31.2003717692,344.6342849731,Редколесье,18.2,415.919244967,65.7453125,13.91875,3.5875,11.2808030645,45.5199881542,6.8086137374,579.9076923077
41,103.0 52.5,Усольское,2013,5,май,1722.0,5,3,31.2003717692,117.5451204653,Редколесье,95.2,1547.8457805774,60.5505208333,17.105,3.50625,11.2808030645,45.5199881542,6.8086137374,579.9076923077
42,103.0 52.5,Усольское,2014,4,апрель,964.0,4,3,31.2003717692,357.237143924,Редколесье,42.8,1632.9523739436,65.2286458333,14.1660416667,3.0625,11.2808030645,45.5199881542,6.8086137374,579.9076923077
43,103.0 52.5,Усольское,2014,5,май,1904.0,9,4,31.2003717692,163.6930894117,Редколесье,86.6,6065.0250010385,50.3697916667,17.3247222222,3.3597222222,11.2808030645,45.5199881542,6.8086137374,579.9076923077
44,103.0 52.5,Усольское,2014,10,октябрь,2431.0,3,2,31.2003717692,32.7734786342,Редколесье,10.6,264.5197915892,70.935,9.54375,2.505,11.2808030645,45.5199881542,6.8086137374,579.9076923077
45,103.0 52.5,Усольское,2015,4,апрель,44.0,1,1,31.2003717692,212.1880187988,Хвойный лес,10.0,4.033263446,79.2854166667,9.3125,3.575,11.2808030645,45.5199881542,6.8086137374,579.9076923077
48,103.0 52.5,Усольское,2015,8,август,221.0,1,1,31.2003717692,11.9908370972,Кустарники,12.1,1560.2849260836,62.4625,28.98875,2.85,11.2808030645,45.5199881542,6.8086137374,579.9076923077
49,103.0 52.5,Усольское,2016,5,май,20.0,1,1,31.2003717692,7.5494232178,Смешанный лес,7.9,604.8732102623,51.9953125,15.2125,3.3625,11.2808030645,45.5199881542,6.8086137374,579.9076923077
50,103.0 52.5,Усольское,2016,6,июнь,26.0,1,1,31.2003717692,258.9964599609,Редколесье,7.4,916.6865612707,57.45625,22.3725,3.45,11.2808030645,45.5199881542,6.8086137374,579.9076923077
51,103.0 52.5,Усольское,2018,4,апрель,67.0,1,1,31.2003717692,113.1985931396,Редколесье,15.0,548.7878806658,75.50625,14.485625,3.10625,11.2808030645,45.5199881542,6.8086137374,579.9076923077
52,103.0 52.5,Усольское,2019,5,май,423.0,2,2,31.2003717692,350.2450714111,Редколесье,16.5,850.4000268587,51.0859375,16.055,3.171875,11.2808030645,45.5199881542,6.8086137374,579.9076923077
53,103.0 52.5,Усольское,2020,4,апрель,173.0,2,2,31.2003717692,118.6323852539,Редколесье,8.4,126.05457819,77.14375,10.2925,3.06875,11.2808030645,45.5199881542,6.8086137374,579.9076923077
54,103.0 52.5,Усольское,2022,5,май,2935.0,4,4,31.2003717692,90.1049413781,Редколесье,31.4,2889.2887986751,58.45078125,15.180625,3.56875,11.2808030645,45.5199881542,6.8086137374,579.9076923077
55,103.0 52.5,Усольское,2023,7,июль,20.0,1,1,31.2003717692,142.2632446289,Редколесье,20.1,193.6190941502,63.275,28.79375,2.9625,11.2808030645,45.5199881542,6.8086137374,579.9076923077
57,103.0 52.5,Черемховское,2010,5,май,144.0,1,1,9.295758,274.0856323242,Редколесье,30.9,82.8502939968,71.4552083333,12.54284375,2.9715416004,9.5725959481,38.1826755801,6.6895760337,469.7333333333
58,103.0 52.5,Черемховское,2012,4,апрель,72.0,1,1,9.295758,280.7419433594,Пастбища,15.8,13.0661189669,84.365625,6.32375,3.85,9.5725959481,38.1826755801,6.6895760337,469.7333333333
60,103.0 52.5,Черемховское,2014,4,апрель,1167.0,2,1,9.295758,112.3885307312,Редколесье,6.9,1082.1442747677,65.2286458333,14.1660416667,3.0625,9.5725959481,38.1826755801,6.6895760337,469.7333333333
61,103.0 52.5,Черемховское,2014,6,июнь,250.0,1,1,9.295758,279.4895629883,Редколесье,5.1,514.0834461027,58.590625,30.585,2.775,9.5725959481,38.1826755801,6.6895760337,469.7333333333
62,103.0 52.5,Черемховское,2014,9,сентябрь,4269.0,1,1,9.295758,119.9621887207,Лиственный лес,2.5,200.3703835411,67.0625,9.77375,2.525,9.5725959481,38.1826755801,6.6895760337,469.7333333333
63,103.0 52.5,Черемховское,2014,10,октябрь,53.0,1,1,9.295758,27.6459770203,Редколесье,5.7,82.1218870548,70.935,9.54375,2.505,9.5725959481,38.1826755801,6.6895760337,469.7333333333
64,103.0 52.5,Черемховское,2015,4,апрель,20.0,1,1,9.295758,131.4236602783,Лиственный лес,8.6,85.6407404286,79.2854166667,9.3125,3.575,9.5725959481,38.1826755801,6.6895760337,469.7333333333
65,103.0 52.5,Черемховское,2016,5,май,1318.0,1,1,9.295758,271.2893981934,Редколесье,2.6,406.8810346738,51.9953125,15.2125,3.3625,9.5725959481,38.1826755801,6.6895760337,469.7333333333
66,103.0 52.5,Черемховское,2017,6,июнь,28.0,1,1,9.295758,91.8881912231,Редколесье,7.0,508.3706351734,52.7875,33.76,2.7375,9.5725959481,38.1826755801,6.6895760337,469.7333333333
67,103.0 52.5,Черемховское,2018,4,апрель,71.0,1,1,9.295758,79.3803405762,Пастбища,31.0,195.5377756601,75.50625,14.485625,3.10625,9.5725959481,38.1826755801,6.6895760337,469.7333333333
68,103.0 52.5,Черемховское,2019,4,апрель,808.0,1,1,9.295758,319.5739135742,Редколесье,14.4,124.9420268366,64.3125,10.82625,3.2,9.5725959481,38.1826755801,6.6895760337,469.7333333333
69,103.0 52.5,Черемховское,2019,5,май,332.0,2,1,9.295758,15.6537055969,Редколесье,13.2,268.9052256176,51.0859375,16.055,3.171875,9.5725959481,38.1826755801,6.6895760337,469.7333333333
70,103.0 53.0,Сосновское военное,2010,5,май,480.0,1,1,20.976861,53.6863555908,Редколесье,26.5,173.8468531688,77.5980371315,12.4271602891,2.7286027639,5.5081015957,22.3569036712,4.4109043095,466.2
71,103.0 53.0,Сосновское военное,2010,6,июнь,75.0,1,1,20.976861,313.8767089844,Поля,4.1,622.6534028613,46.3443617725,25.164547619,2.9695115132,5.5081015957,22.3569036712,4.4109043095,466.2
72,103.0 53.0,Сосновское военное,2010,10,октябрь,22.0,1,1,20.976861,119.2488250732,Редколесье,5.69,89.0274941954,78.0147569444,7.7770833333,2.1494805761,5.5081015957,22.3569036712,4.4109043095,466.2
73,103.0 53.0,Сосновское военное,2011,7,июль,318.0,1,1,20.976861,258.0706787109,Редколесье,28.2,958.370172157,64.4390625,24.73,3.4875,5.5081015957,22.3569036712,4.4109043095,466.2
74,103.0 53.0,Сосновское военное,2012,5,май,96.0,2,2,20.976861,83.9122581482,Редколесье,25.5,2488.5633896598,59.9079166667,15.1676666667,4.0075,5.5081015957,22.3569036712,4.4109043095,466.2
